Date	2016	2017	2018	2019	2020	2021	2022
1/1/2016	28.20	28.45	26.61	26.91	26.90	24.73	26.41
1/2/2016	28.79	27.86	27.17	28.60	28.51	25.39	23.68
1/3/2016	26.44	29.16	24.39	29.18	27.86	25.18	25.22
1/4/2016	27.70	27.78	27.88	28.71	27.45	29.24	26.55
1/5/2016	27.69	27.16	30.28	29.00	27.11	28.16	26.59
1/6/2016	27.42	27.74	29.71	27.33	28.62	28.84	26.34
1/7/2016	27.47	27.42	29.00	27.15	27.42	27.54	26.29
1/8/2016	27.07	26.62	30.26	27.93	26.73	27.50	26.61
1/9/2016	24.99	27.32	30.33	27.17	27.89	25.39	27.41
1/10/2016	26.48	26.55	29.91	27.58	27.44	24.86	27.42
1/11/2016	31.26	26.44	26.74	28.65	28.15	25.21	26.36
1/12/2016	27.30	28.22	24.69	28.01	26.40	24.83	25.84
1/13/2016	27.15	29.40	24.77	27.15	27.61	25.80	23.69
1/14/2016	28.38	28.92	25.35	27.73	27.67	26.84	24.06
1/15/2016	26.80	27.59	27.20	27.49	27.63	27.12	24.94
1/16/2016	28.64	26.19	27.32	26.87	28.99	27.50	24.97
1/17/2016	28.91	27.23	26.69	26.12	29.63	26.64	24.71
1/18/2016	28.36	26.74	30.31	26.61	28.96	26.03	24.81
1/19/2016	27.40	27.40	27.99	27.66	27.56	25.75	26.16
1/20/2016	29.28	26.55	28.56	28.09	27.70	25.45	24.85
1/21/2016	30.08	27.32	29.39	26.79	27.36	28.44	25.42
1/22/2016	26.89	27.28	29.57	27.61	27.42	28.68	27.38
1/23/2016	29.66	28.47	29.40	26.43	27.88	30.11	27.43
1/24/2016	27.60	26.76	27.54	26.89	26.87	29.23	27.54
1/25/2016	24.67	27.09	28.89	27.53	27.04	30.38	27.63
1/26/2016	25.07	25.02	30.81	24.67	29.20	27.93	25.92
1/27/2016	25.93	25.42	25.60	24.90	28.56	26.77	28.82
1/28/2016	27.24	25.90	26.38	24.80	28.26	27.23	28.40
1/29/2016	29.07	26.41	28.33	24.05	26.99	26.73	28.83
1/30/2016	30.44	29.32	26.95	25.21	27.90	25.49	29.34
1/31/2016	29.39	30.44	26.55	26.90	24.85	24.59	26.95
