EXCEPTION 		DESCRIPTION
=========		===========
AssertionError 		Called when the assert statement fails.
AttributeError 		Called on the attribute assignment or reference fails.
EOFError 		Called when the input() function hits the end-of-file condition.
FloatingPointError 	Called when a floating point operation fails.
GeneratorExit 		Called when a generator's close() method is called.
ImportError 		Called when the imported module is not found.
IndexError 		Called when the index of a sequence is out of range.
KeyError 		Called when a key is not found in a dictionary.
KeyboardInterrupt 	Called when the user hits the interrupt key (Ctrl+c or delete).
MemoryError 		Called when an operation runs out of memory.
NameError 		Called when a variable is not found in the local or global scope.
NotImplementedError 	Called by abstract methods.
OSError 		Called when a system operation causes a system-related error.
OverflowError 		Called when the result of an arithmetic operation is too large to be represented.
ReferenceError 		Called when a weak reference proxy is used to access a garbage collected referent.
RuntimeError 		Called when an error does not fall under any other category.
StopIteration 		Called by the next() function to indicate that there is no further item to be returned by the iterator.
SyntaxError 		Called by the parser when a syntax error is encountered.
IndentationError 	Called when there is an incorrect indentation.
TabError 		Called when the indentation consists of inconsistent tabs and spaces.
SystemError 		Called when the interpreter detects internal error.
SystemExit 		Called by the sys.exit() function.
TypeError 		Called when a function or operation is applied to an object of an incorrect type.
UnboundLocalError 	Called when a reference is made to a local variable in a function or method, but no value has been bound to that variable.
UnicodeError 		Called when a Unicode-related encoding or decoding error occurs.
UnicodeEncodeError 	Called when a Unicode-related error occurs during encoding.
UnicodeDecodeError 	Called when a Unicode-related error occurs during decoding.
UnicodeTranslateError 	Called when a Unicode-related error occurs during translation.
ValueError 		Called when a function gets an argument of correct type but improper value.
ZeroDivisionError 	Called when the second operand of a division or module operation is zero.
